ID,label
0,2
1,0
2,0
3,2
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,2
12,0
13,0
14,1
15,3
16,0
17,0
18,3
19,3
20,1
21,3
22,0
23,0
24,3
25,0
26,0
27,2
28,0
29,0
30,3
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,2
44,0
45,0
46,1
47,0
48,0
49,2
50,2
51,1
52,0
53,0
54,2
55,0
56,0
57,2
58,0
59,0
60,2
61,3
62,2
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,2
71,0
72,0
73,0
74,3
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,2
86,0
87,2
88,2
89,0
90,3
91,0
92,0
93,0
94,0
95,0
96,3
97,2
98,0
99,2
100,0
101,2
102,1
103,0
104,2
105,0
106,0
107,0
108,0
109,2
110,3
111,0
112,0
113,0
114,2
115,3
116,1
117,0
118,0
119,2
120,0
121,0
122,3
123,0
124,0
125,1
126,0
127,2
128,0
129,0
130,0
131,0
132,2
133,1
134,3
135,1
136,0
137,0
138,3
139,0
140,1
141,1
142,0
143,0
144,0
145,2
146,0
147,0
148,3
149,1
150,1
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,2
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,2
167,0
168,0
169,0
170,2
171,0
172,0
173,2
174,0
175,2
176,0
177,0
178,2
179,0
180,0
181,0
182,0
183,0
